句子,句型,人工判断
丁仪盯着汪淼,未知句型,
后者沉默许久才问：“这事真的发生了,未知句型,
是吗,肯定句,
”,未知句型,
丁仪将手中的两杯酒都仰头灌下去,未知句型,
两眼直勾勾地看着台球桌,未知句型,
仿佛那是个魔鬼,肯定句,
“是的,肯定句,
发生了,未知句型,
近年来,未知句型,
基础理论研究的实验验证条件渐渐成熟,未知句型,
有三个昂贵的‘台球桌’被造了出来,被字句,
一个在北美,未知句型,
一个在欧洲,未知句型,
还有一个你当然知道,未知句型,
在中国良湘,未知句型,
你们纳米中心从那里赚了不少钱,否定句,
“这些高能加速器将实验中粒子对撞的能量提高了一个数量级,未知句型,
这是人类以前从未达到过的,肯定句,
在新的对撞能级下,未知句型,
同样的粒子,未知句型,
同样的撞击能量,未知句型,
一切试验条件都相同,未知句型,
结果却不一样,否定句,
不但在不同的加速度上不一样,否定句,
在同一加速器不同时间的试验中也不一样,否定句,
物理学家们慌了,未知句型,
把这种相同条件的超高能撞击试验一次次地重复,把字句,
但每次的结果都不同,否定句,
也没有规律,否定句,
”,未知句型,
“这意味着什么呢,未知句型,
”汪淼问,未知句型,
看到丁仪盯着自己不做声,否定句,
他又补充道,未知句型,
“哦,未知句型,
我搞纳米,未知句型,
也接触物质微观结构,未知句型,
但比起你们来要浅好几个层次,未知句型,
请指教一下,未知句型,
”,未知句型,
“这意味着物理规律在时间和空间上不均匀,否定句,
”,未知句型,
“这又意味着什么呢,未知句型,
”,未知句型,
“往下您应该能推论出来吧,未知句型,
那个将军都想出来了,未知句型,
他真是个聪明人,肯定句,
”,未知句型,
汪淼看着窗外沉思着,未知句型,
外面城市的灯海一片灿烂,未知句型,
夜空中的星星被淹没得看不见了,否定句,
“这就意味着宇宙普适的物理规律不存在,否定句,
那物理学……也不存在了,否定句,
”汪淼从窗外收回目光说,未知句型,
“‘我知道自己这样做是不负责任的,肯定句,
但别无选择,未知句型,
’”丁仪紧接着说,未知句型,
“这是她遗书的后半部分,肯定句,
您无意中刚说出了前半部分,未知句型,
现在多少能够理解她吧,未知句型,
”,未知句型,
汪淼从台球桌上拿起刚才他打过五次的那个白球,未知句型,
抚摸了一会儿轻轻放下,未知句型,
“这对一个前沿理论的探索者确实是个灾难,肯定句,
”,未知句型,
“在理论物理这个领域要想有所建树,未知句型,
需要一种宗教般的执着,未知句型,
这很容易把人引向深渊,把字句,
”,未知句型,
告辞时,未知句型,
丁仪给了汪淼一个地址,未知句型,
“你如果有空,未知句型,
拜托去看看杨冬的母亲,未知句型,
杨冬一直和她住在一起,未知句型,
女儿是她生活的全部,肯定句,
现在就一个人了,未知句型,
很可怜,未知句型,
”,未知句型,
汪淼说：“丁仪,未知句型,
你知道得显然比我多,未知句型,
就不能再透露一点吗,否定句,
你真的相信物理规律在时空上不均匀,否定句,
”,未知句型,
“我什么都不知道……”,否定句,
丁仪与汪淼对视了好长时间,未知句型,
最后说：“这是个问题,肯定句,
”,未知句型,
汪淼知道,未知句型,
他不过是接下了那位英军上校的话：生存还是死亡,肯定句,
这是个问题,肯定句,
3.射手和农场主,未知句型,
第二天是周末,肯定句,
汪淼反而起得很早,未知句型,
带上相机骑着自行车出去了,未知句型,
作为一名摄影爱好者,未知句型,
他最向往的题材是人迹罕至的荒野,肯定句,
但人到中年,未知句型,
已经没有精力进行这种奢侈的享受了,否定句,
大多数时间只能在城市里拍风景了,未知句型,
他有意无意地选取城市中那些散发着蛮荒气息的角落,未知句型,
如公园中干涸的湖底、建筑工地上翻出的新土、钻出水泥缝隙的野草等,未知句型,
为了消除背景上城市的俗艳色彩,未知句型,
他只使用黑白胶片,未知句型,
没想到竟自成一派,未知句型,
渐渐小有名气,未知句型,
作品入选了两次大影展,未知句型,
还加入了摄影家协会,未知句型,
每次出去拍摄,未知句型,
他就这样骑着自行车在城市里随意乱转,未知句型,
捕捉着灵感和他需要的构图,未知句型,
有时一转就是一整天,肯定句,
今天,未知句型,
汪淼的感觉有些异样,未知句型,
他的摄影以古典风格的沉稳凝重见长,未知句型,
但今天,未知句型,
他很难再找到创造这种构图所需要的稳定感,未知句型,
在他的感觉中,未知句型,
这座正在晨曦中苏醒的城市似乎建立在流沙上,未知句型,
它的稳定是虚幻的,肯定句,
在刚过去的那一夜,未知句型,
那两颗台球一直占据着他长长的梦境,未知句型,
它在黑色的空间中无规则地乱飞,未知句型,
在黑色的背景上黑球看不见,否定句,
它只有在偶尔遮挡白球时才显示一下自己的存在,未知句型,
难道物质的本原真的是无规律吗,肯定句,
难道世界的稳定和秩序,未知句型,
只是宇宙某个角落短暂的动态平衡,肯定句,
只是混乱的湍流中一个短命的旋涡,肯定句,
不知不觉中,否定句,
他已骑到了新落成的 CCTV 大厦脚下,未知句型,
他停下车,未知句型,
坐到路边,未知句型,
仰望这 A 字形的巍峨建筑,未知句型,
试图找回稳定的感觉,未知句型,
顺着大厦在朝阳中闪烁的尖顶的指向,未知句型,
他向深不见底的蓝色苍穹望去,否定句,
脑海中突然浮现出两个词：射手、农场主,未知句型,
在“科学边界”的学者们进行讨论时,未知句型,
常用到一个缩写词：SF,未知句型,
它不是指科幻,肯定句,
而是上面那两个词的缩写,肯定句,
这源自两个假说,未知句型,
都涉及到宇宙规律的本质,未知句型,
“射手”假说：有一名神枪手,未知句型,
在一个靶子上每隔十厘米打一个洞,未知句型,
设想这个靶子的平面上生活着一种二维智能生物,未知句型,
它们中的科学家在对自己的宇宙进行观察后,未知句型,
发现了一个伟大的定律：“宇宙每隔十厘米,未知句型,
必然会有一个洞,未知句型,
”它们把这个神枪手一时兴起的随意行为,把字句,
看成了自己宇宙中的铁律,未知句型,
“农场主假说”则有一层令人不安的恐怖色彩：一个农场里有一群火鸡,否定句,
农场主每天中午十一点来给它们喂食,未知句型,
火鸡中的一名科学家观察这个现象,未知句型,
一直观察了近一年都没有例外,否定句,
于是它也发现了自己宇宙中的伟大定律：“每天上午十一点,肯定句,
就有食物降临,未知句型,
”它在感恩节早晨向火鸡们公布了这个定律,未知句型,
但这天上午十一点食物没有降临,否定句,
农场主进来把它们都捉去杀了,把字句,
汪淼感到脚下的路面像流沙般滑动,未知句型,
A字形大厦仿佛摇晃起来,未知句型,
他赶紧收回目光,未知句型,
仅仅是为了摆脱不安,肯定句,
汪淼强迫自己拍完了一个胶卷,未知句型,
午饭前回到了家,未知句型,
妻子带着孩子出去玩,未知句型,
中午不回来了,否定句,
往常,未知句型,
汪淼一定会迫不及待地把胶卷冲出来,否定句,
但今天他一点兴致都没有,否定句,
简单地吃过午饭后,未知句型,
他倒头便睡,未知句型,
由于昨天夜里没睡好,未知句型,
一觉睡醒后都快五点了,未知句型,
他这时才想起上午拍的胶卷,未知句型,
便钻到那间由壁橱改成的狭窄暗室里去冲洗,未知句型,
胶片很快冲出来了,未知句型,
他开始查看哪张值得放大洗成照片,未知句型,
在第一张就发现了一件离奇的事,未知句型,
这张拍的是一个大商场外的一小片草地,肯定句,
他看到底片正中有一行白色的东西,未知句型,
细看是一排数字：1200:00:00,肯定句,
第二张底片上也有数字：1199:49:33,未知句型,
整卷胶片,未知句型,
每张底片上都有小小的一排数字,未知句型,
第三张:1199:40:18,未知句型,
第四张:1199:32:07,未知句型,
第五张:1199:28:51,未知句型,
第六张：1199:15:44,未知句型,
第七张：1199:07:38,未知句型,
第八张:1198:53:09……第三十四张：1194:50:49,未知句型,
第三十六张,未知句型,
也是最后一张:1194:16:37,肯定句,
汪淼立刻想到是胶卷的问题,肯定句,
他使用的,未知句型,
1988 年产的莱卡 M2 型相机,未知句型,
全机械手动,未知句型,
没有任何自动化功能,否定句,
更不可能往胶片上叠印日期一类的数字,否定句,
仅凭其品质卓绝的镜头和机械机构,未知句型,
即使在数码时代,未知句型,
也是专业相机中的贵族,肯定句,
重新查看每张底片,未知句型,
汪淼很快发现了这些数字的第一个诡异之处：它们自动适应背景,未知句型,
如果背景是黑色,肯定句,
数字则为白色,未知句型,
白色背景上的数字就是黑色,肯定句,
似乎是为了形成最大的反差便于观察者看清,肯定句,
当汪淼再看第十六张底片时,未知句型,
心跳加快了,未知句型,
感到暗室中有一股寒气沿着脊背升上来：,未知句型,
这张拍的是以一面老墙为背景的一棵枯树,肯定句,
老墙斑驳一片,未知句型,
在照片上黑白相间,未知句型,
在这样的背景上,未知句型,
那行数字以正常的位置无论是黑是白都不可能显示清楚,肯定句,
但它竟竖了起来,未知句型,
且弯曲自身,未知句型,
沿着枯树深色的树身呈白色显示,未知句型,
看上去仿佛是附着在枯树上的一条细蛇,肯定句,
汪淼开始研究那些数字的数学关系,未知句型,
起初他以为是某种编号,肯定句,
但每组数字的间隔并不相同,否定句,
他很快明白这是以小时、分、秒为单位的计时,肯定句,
他拿出了拍摄笔记,未知句型,
上面详细记录了每张照片的拍摄时间,未知句型,
精确到分,未知句型,
他发现两张照片上计时的差值与它们实际拍摄的时间间隔是一致的,肯定句,
很明显,未知句型,
这卷胶片上反向记录了某个以现实的速度流逝的时间,未知句型,
汪淼马上明白了它是什么,肯定句,
一个倒计时,未知句型,
倒计时从 1200 小时开始,未知句型,
到现在还剩余 1194 小时,未知句型,
现在,未知句型,
不,否定句,
是拍完胶卷最后一张那一时刻,肯定句,
这个倒计时还在继续吗,疑问句,对
汪淼走出暗室,未知句型,
取出一只新的黑白胶卷装到莱卡相机上,未知句型,
在房间里飞快地随意拍摄起来,未知句型,
最后又到阳台上拍了几张室外的画面,未知句型,
胶卷拍完后,未知句型,
他把它从相机里取出来,把字句,对
一头钻进暗室冲洗,未知句型,
冲出来的胶片上,未知句型,
那数字幽灵般地在每一张底片上不断显示出来,否定句,
第一张是 1187:27:39,肯定句,
从上一卷最后一张拍摄到拍这卷的第一张,未知句型,
正好是间隔这么长时间,肯定句,
以后的每一张的计时间隔为三到四秒,未知句型,
1187:27:35、1187:27:31、1187:27:27、1187:27:24……是他快速拍摄的间隔,肯定句,
倒计时仍在继续,未知句型,
汪淼再次给相机装上新胶卷,未知句型,
飞快地乱拍起来,未知句型,
有几张他是故意扣上镜头盖拍的,肯定句,
当他将拍完的胶卷取出时,未知句型,
妻子和孩子回来了,未知句型,
在去冲洗前,未知句型,
他给莱卡装上第三个胶卷,未知句型,
把相机递给妻子：“来,把字句,对
拍完这卷,未知句型,
”,未知句型,
“拍什么,未知句型,
”妻子惊诧地看着丈夫,未知句型,
以前,未知句型,
他是绝不允许其他人碰自己的相机,肯定句,
当然她和儿子对那玩意儿也没兴趣,未知句型,
在他们眼里,未知句型,
那是一个两万多元买来的乏味的老古董,肯定句,
“什么都行,未知句型,
随便拍,未知句型,
”汪淼把相机塞到妻子手中,把字句,对
一头钻进了暗室,未知句型,
“那,未知句型,
豆豆,未知句型,
我给你拍吧,未知句型,
”妻子把镜头对准了儿子,把字句,对
汪淼的脑海中突然浮现出幽灵般的数字像一条张开的绞索横在孩子面容前的幻象,未知句型,
他不由微微战栗了一下,否定句,
“不,否定句,
别拍儿子,未知句型,
随便拍别的什么吧,未知句型,
”,未知句型,
快门“咔嚓”一声,未知句型,
妻子拍了第一张,未知句型,
然后叫道：“这怎么按不动了,否定句,
”汪淼教妻子扳了一个手柄,未知句型,
“这样,未知句型,
每次都要倒卷,未知句型,
”然后钻进了暗室,未知句型,
“真麻烦,未知句型,
”身为医生的妻子不能理解,否定句,
在千万级像素的数码相机已经普及的今天,未知句型,
还有人用这种过时的昂贵玩意儿,未知句型,
而且拍的还是黑白胶卷,肯定句,
胶卷冲出来后,未知句型,
对着晕暗的红灯,未知句型,
汪淼看到那幽灵倒计时仍在继续,未知句型,
在一张张随意拍出的混乱画面上,未知句型,
包括那几张扣着镜头盖拍的,未知句型,
清晰地显示出：1187:19:06、1187:19:03、1187:18:59、1187:18:56……,未知句型,
妻子敲了两下暗室的门,未知句型,
告诉他拍完了,未知句型,
汪淼出门抓过相机,未知句型,
取胶卷时他的手明显地在颤抖,未知句型,
不顾妻子异样的目光,否定句,
他拿着胶卷又回到暗室,未知句型,
死死地关上门,未知句型,
他干得很忙乱,未知句型,
显影液、定影液洒了一地,未知句型,
胶卷很快冲出来了,未知句型,
他闭上双眼,未知句型,
默默祈祷：别出现,未知句型,
不管是什么,肯定句,
别在现在出现,未知句型,
别轮到我……,未知句型,
他用放大镜沿着湿漉漉的胶卷看去,未知句型,
倒计时消失了,未知句型,
底片上只有妻子拍出的室内画面,未知句型,
在低速光圈下,未知句型,
她那不专业的操作拍出的画面一片模糊,否定句,
但汪淼觉得这是他看过的最赏心悦目的照片了,肯定句,
汪淼走出暗室,未知句型,
长出一口气,未知句型,
发现汗水已浸湿了全身,未知句型,
妻子去厨房做饭了,未知句型,
儿子也到自己的房间去玩,未知句型,
他一个人坐在沙发上,未知句型,
开始了稍微冷静的思考,未知句型,
首先,未知句型,
这组在不同的拍摄间隔精确地记录时间流逝,否定句,
并显示出智能迹象的数字,未知句型,
不可能是预留在胶片上的,肯定句,
只能是某种力量使其感光,肯定句,
那会是什么呢,肯定句,
是相机的问题吗,肯定句,
是某种装置被有意无意地放置到了相机中吗,肯定句,
他将镜头卸下来,未知句型,
把相机拆开,把字句,对
用放大镜仔细地观察着相机内部,未知句型,
检查着每个一尘不染的光洁机件,否定句,
没有发现任何异常,否定句,
那么,未知句型,
联想到那几张扣上镜头盖后拍摄的画面,未知句型,
最可能的感光源是外界某种穿透力很强的射线,肯定句,
但这在技术上同样是不可能的：射线源在哪儿,肯定句,
如何瞄准,未知句型,
至少以现有技术而言,未知句型,
这种力量是超自然的,肯定句,
为了进一步确定幽灵倒计时已经消失,未知句型,
汪淼又在莱卡相机中装上了一个胶卷,未知句型,
开始一张张地随意拍起来,未知句型,
当这次的胶卷冲出来后,未知句型,
刚刚稍微平静了一会儿的他又被推到了疯狂的边缘：幽灵倒计时又出现了,被字句,
从画面显示的时间看,未知句型,
它根本就没有停止过,否定句,
只是在妻子拍的那卷上没有显示而已,肯定句,
1186:34:13、1186:34:02、1186:33:46、1186:33:35……,未知句型,
汪淼冲出暗室,未知句型,
冲出家门,未知句型,
猛敲邻居的门,未知句型,
开门的是退休的张教授,肯定句,
“老张,未知句型,
你家有没有相机,否定句,
哦,未知句型,
不要数码的,否定句,
要用胶卷的,未知句型,
”,未知句型,
“你这大摄影家朝我借相机,未知句型,
那个两万多的坏了,未知句型,
我只有数码的……你不舒服,否定句,
脸色这么难看,未知句型,
”,未知句型,
“借我用用,未知句型,
”,未知句型,
老张很快拿来一架很普通的柯达数码相机,未知句型,
“给,未知句型,
里面的几张删掉,未知句型,
就行……”,未知句型,
“谢谢,未知句型,
”汪淼抓过相机和胶卷,未知句型,
匆匆返回屋里,未知句型,
其实家里还有三架胶卷相机和一架数码相机,未知句型,
但汪淼觉得从别处借更可靠些,未知句型,
他看着摊放在沙发上的两架相机和几只黑白胶卷,未知句型,
略一思考后,未知句型,
又给莱卡装上了胶卷,未知句型,
然后将数码相机递给正在端饭的妻子：,未知句型,
“快,未知句型,
拍几张,未知句型,
就像刚才一样,未知句型,
”,未知句型,
“这是干什么,肯定句,
看你的脸色……你到底怎么了,未知句型,
”妻子惊恐地望着他,未知句型,
“你别管,未知句型,
拍,未知句型,
”,未知句型,
妻子放下手中的碟子,未知句型,
走过来看着丈夫,未知句型,
眼中的惊恐又加上了忧虑,未知句型,
汪淼把柯达相机塞到过来吃饭的六岁儿子手里,把字句,对
“豆豆,未知句型,
你帮爸爸拍,未知句型,
就按这个,未知句型,
对,未知句型,
这是一张,肯定句,
再按一下,未知句型,
对对,未知句型,
又是一张,肯定句,
就这样一直拍,未知句型,
对着哪儿都行,未知句型,
”,未知句型,
儿子很快掌握了,未知句型,
小家伙很感兴趣,未知句型,
拍得很快,未知句型,
汪淼转身从沙发上拿起自己的莱卡,未知句型,
也拍了起来,未知句型,
父子俩就这样“咔嚓、咔嚓”地疯狂拍着,未知句型,
丢下妻子在频频闪光中不知所措,否定句,
眼泪涌了出来,未知句型,
“汪淼,未知句型,
我知道你最近工作压力很大,未知句型,
你可别……”,未知句型,
汪淼把莱卡相机的胶卷拍完,把字句,对
又从孩子手中抢过数码相机,未知句型,
他想了一下,未知句型,
为了避开妻儿的干扰,未知句型,
走到卧室中,未知句型,
自己用数码相机也拍了几张,未知句型,
他拍的时候用的是目视取景器,肯定句,
没用液晶屏,未知句型,
因为怕看到结果,未知句型,
虽然迟早要看,未知句型,
汪淼取出莱卡里的胶卷钻进暗室,未知句型,
紧紧地关上门工作起来,未知句型,
冲洗完成后,未知句型,
他细看底片,未知句型,
因手在颤抖,未知句型,
他只能用双手握着放大镜——底片上,未知句型,
幽灵倒计时在继续,未知句型,
汪淼冲出暗室,未知句型,
开始检查数码相机上的照片,未知句型,
从液晶屏上看到,未知句型,
刚才拍的数码照片中,未知句型,
儿子拍的部分没有显示倒计时,否定句,
而在自己拍的那部分,未知句型,
倒计时清晰地显示出来,未知句型,
并且与底片上的同步变化,未知句型,
汪淼使用不同的相机拍摄,否定句,
目的是排除问题出在相机或底片上的可能性,肯定句,
但他无意中让孩子拍摄,未知句型,
加上之前让妻子拍摄,未知句型,
得出了一个更加诡异的结果：用不同相机和不同胶卷拍摄,否定句,
别人拍出的都正常,未知句型,
幽灵倒计时只会在他拍摄的照片上出现,未知句型,
汪淼绝望地抓起那堆胶卷,未知句型,
像抓着一团纠缠在一起的蛇,未知句型,
又像一团难以挣脱的绞索,未知句型,
他知道,未知句型,
仅凭自己的力量是无法解决这个问题的,肯定句,
那么去找谁呢,未知句型,
大学和研究所里的同事是不行的,肯定句,
他们与自己一样,未知句型,
都是技术型思维的人,肯定句,
直觉告诉他,未知句型,
这件事已超出了技术之外,未知句型,
他想到了丁仪,未知句型,
可现在这人自己也陷入精神危机之中,未知句型,
他最后想到了“科学边界”,未知句型,
那是一群思想深刻而且活跃的人,肯定句,
于是,肯定句,
他拨通了申玉菲的电话,未知句型,
“申博士,未知句型,
我这里有些事,未知句型,
必须到你那里去一趟,未知句型,
”汪淼急促地说,未知句型,
“来吧,未知句型,
”申玉菲只说了这两个字就挂断了电话,未知句型,
汪淼吃了一惊,未知句型,
申玉菲平时说话也十分精简,未知句型,
以至于“科学边界”的一些人戏称她为“女海明威”,未知句型,
但这次,未知句型,
她竟连是什么事都不问,肯定句,
汪淼不知该感到安慰还是更加不安,肯定句,
他将那团胶卷塞进一个提包,未知句型,
并带上那架数码相机,未知句型,
在妻子焦虑的目光中冲出家门,未知句型,
本来可以开车去的,肯定句,
但即使在这灯火灿烂的城市,未知句型,
他在路上也想有人陪伴,未知句型,
于是叫了出租车,肯定句,
申玉菲住在新城铁线附近的一个高档别墅区,未知句型,
这里的灯光稀疏了许多,未知句型,
别墅群环绕着几个能垂钓的小人工湖,未知句型,
晚上有一种乡村的感觉,未知句型,
申玉菲显然很富有,未知句型,
但汪淼一直搞不清她的财产来源,否定句,
她以前的研究职位和现在公司中的职位都挣不到这么多钱,否定句,
不过她的别墅中并没有豪华享受的痕迹,否定句,
那里是“科学边界”的一个聚会场所,肯定句,
其中的陈设很像一个带会议室的小图书馆,未知句型,
在客厅里,未知句型,
汪淼见到申玉菲的丈夫魏成,未知句型,
这个四十岁左右的男人,未知句型,
一副敦厚的知识分子模样,未知句型,
汪淼对他的了解仅限于其姓名,未知句型,
申玉菲介绍时也只说了这些,未知句型,
他似乎没有工作,否定句,
成天待在家里,未知句型,
对“科学边界”的讨论不感兴趣,否定句,
对家里频繁来往的学者们也习以为常,未知句型,
但他并非无所事事,否定句,
显然在家研究着什么东西,未知句型,
整天沉浸在思考中,未知句型,
见到任何人都是心不在焉地打个招呼,肯定句,
然后回到楼上的房间里,未知句型,
他一天的大部分时间都待在那里,未知句型,
一次,未知句型,
汪淼在楼上无意中从半开的房门向里瞥了一眼,未知句型,
看到一个令人惊奇的东西：一台 HP 小型机,未知句型,
他不会看错的,否定句,
因为这台设备与他工作的超导研究中心那台一样,未知句型,
黑灰色机箱,未知句型,
是四年前出品的RX8620,肯定句,
把这台价值上百万的设备放在家里似乎很奇怪,把字句,对
魏成每天一个人守着它到底在干什么,未知句型,
“玉菲在上面有点事,未知句型,
您稍等一会儿吧,未知句型,
”魏成说,未知句型,
然后走上楼,未知句型,
汪淼本打算等的,未知句型,
但实在坐不住,否定句,
也跟着走上楼去,未知句型,
看到魏成正要进入他那个放着小型机的房间,未知句型,
他看到汪淼跟来似乎并不反感,否定句,
指指对面的一个房间说：“哦,未知句型,
就在那个房间里,未知句型,
你去找她吧,未知句型,
”,未知句型,
汪淼敲门,未知句型,
门没锁,未知句型,
开了一个缝,未知句型,
他看到申玉菲正坐在电脑前玩游戏,未知句型,
令汪淼惊奇的是她竟穿着一套“V 装具”,肯定句,
这是目前在游戏玩家中很流行的玩意儿,肯定句,
由一个全视角显示头盔和一套感应服构成,未知句型,
感应服可以使玩家从肉体上感觉到游戏中的击打、刀刺和火烧,肯定句,
能产生出酷热和严寒,未知句型,
甚至还能逼真地模拟出身体暴露在风雪中的感觉,未知句型,
汪淼走到她后面,未知句型,
由于游戏是在头盔中以全视角方式显示的,肯定句,
在显示器上什么都看不到,否定句,
这时,未知句型,
汪淼想起大史让他记网址和邮件地址的事,未知句型,
无意中扫了一眼显示器,未知句型,
那个游戏登录界面上的英文名很特别,未知句型,
他记住了,未知句型,
申玉菲摘下显示头盔,未知句型,
又脱下了感应服,未知句型,
戴上她那副在瘦削的脸上显得很大的眼镜,未知句型,
面无表情地对汪淼点点头,未知句型,
一个字都没说,未知句型,
等着他说话,未知句型,
汪淼拿出那团胶卷,未知句型,
开始讲述发生在自己身上的诡异事件,未知句型,
申玉菲注意听着,未知句型,
对那些胶片,未知句型,
只是拿起来大概扫了几眼,肯定句,
并没有细看,否定句,
这令汪淼很震惊,未知句型,
现在他进一步确定申玉菲对此事并非完全不知情,否定句,
这几乎令他停止了讲述,未知句型,
只是申玉菲几次点头示意他继续,肯定句,
才将事情讲完了,未知句型,
这时申玉菲才说出了他们见面后的第一句话：“你领导的纳米项目怎么样了,未知句型,
”这不着边际的问题令汪淼十分吃惊,否定句,
“纳米项目,未知句型,
它与这有什么关系,未知句型,
”他指指那堆胶卷,未知句型,
申玉菲没有说话,否定句,
只是静静地看着他,肯定句,
等他回答自己的问题,未知句型,
这就是她的谈话风格,肯定句,
从不多说一个字,否定句,
“把研究停下来,把字句,对
”申玉菲说,未知句型,
“什么,未知句型,
”汪淼认为自己听错了,未知句型,
“你说什么,未知句型,
”,未知句型,
申玉菲沉默着,未知句型,
没重复自己的话,未知句型,
“停下来,未知句型,
那是国家重点项目,肯定句,
”,未知句型,
申玉菲仍不说话,否定句,
只是看着他,肯定句,
目光平静,未知句型,
“你总得说出原因吧,未知句型,
”,未知句型,
“停下来试试,未知句型,
”,未知句型,
“你到底知道些什么,未知句型,
告诉我,未知句型,
”,未知句型,
“我能告诉你的就这些了,未知句型,
”,未知句型,
“项目不能停,否定句,
也不可能停,否定句,
”,未知句型,
“停下来试试,未知句型,
”,未知句型,
关于幽灵倒计时的简短谈话就到此为止,未知句型,
之后,未知句型,
不管汪淼如何努力,否定句,
申玉菲再也没有说出一个与此有关的字,否定句,
只是重复那句话：“停下来试试,肯定句,
”,未知句型,
“我现在明白了,未知句型,
‘科学边界’并不是像你们宣称的那样是一个基础理论的学术交流组织,肯定句,
它与现实的关系比我想象的要复杂得多,未知句型,
”汪淼说,未知句型,
“相反,未知句型,
你得出这个印象,未知句型,
是因为‘科学边界’涉及的东西比你想象的更基础,肯定句,
”,未知句型,
绝望的汪淼没有告辞起身就走,否定句,
申玉菲默默地一直送他到庭院的大门处,未知句型,
并看着他坐进出租车,未知句型,
正在这时,未知句型,
另一辆汽车疾驰而来,未知句型,
在门前刹住了,未知句型,
一个男人下车,未知句型,
借着别墅中透出的灯光,未知句型,
汪淼一眼就认出了他,未知句型,
这人是潘寒,肯定句,
是“科学边界”里最著名的人物之一,肯定句,
作为一名生物学家,未知句型,
他成功地预言了长期食用转基因农产品造成的后代遗传畸形,未知句型,
还预言了转基因作物可能造成的生态灾难,未知句型,
与那些空洞地危言耸听的学者不同,否定句,
他的预言充满了具体的细节,未知句型,
且都一一精确兑现,未知句型,
其准确度达到令人震惊的程度,未知句型,
以至于有传言说他来自未来,未知句型,
他使自己闻名于世的另一个创举,未知句型,
是创建了国内第一个实验社会,肯定句,
与西方那些旨在回归自然的乌托邦社团不同,否定句,
他的“中华田园”不是处于荒野之地,肯定句,
而是置身于最大的城市中,肯定句,
社团没有一分钱财产,否定句,
包括食物在内的所有生活用品,未知句型,
均来自城市垃圾,未知句型,
与人们最初的预想不同,否定句,
“中华田园”不但生存下来,否定句,
而且迅速壮大,未知句型,
其固定成员已达三千多人,未知句型,
不定期到其中体验生活的人更是不计其数,肯定句,
以这两个成功为基础,未知句型,
潘寒的社会思想也日益具有影响力,未知句型,
他认为,未知句型,
科技革命是人类社会的一种病变,肯定句,
技术的爆炸性发展与癌细胞的飞速扩散相当,未知句型,
最终的结果都是耗尽有机体的养分,肯定句,
破坏器官,未知句型,
导致其寄宿体的死亡,未知句型,
他主张废除那些“粗暴的”技术,未知句型,
如化石能源和核电,未知句型,
保留“温和的”技术,未知句型,
如太阳能和小水电,未知句型,
将大城市逐步解散,未知句型,
人口均匀分布于自给自足的小村镇中,未知句型,
以“温和技术”为基础,未知句型,
建立“新农业社会”,未知句型,
“他在吗,疑问句,对
”潘寒指指别墅的二楼问,未知句型,
申玉菲没有回答,否定句,
沉默地挡在他面前,未知句型,
“我要警告他,未知句型,
当然也要警告你,未知句型,
别逼我们,未知句型,
”潘寒冷冷地说,未知句型,
申玉菲仍没回答他,未知句型,
只是对出租车里的汪淼说：“走吧,肯定句,
没事,未知句型,
”然后示意司机开车,未知句型,
车发动后,未知句型,
汪淼再也没有听到他们说什么,否定句,
他回头远远地看到,未知句型,
灯光下申玉菲一直没让潘寒走进别墅,未知句型,
回到家已是深夜,肯定句,
汪淼在小区的门口走下出租车,未知句型,
一辆黑色桑塔纳紧贴着他刹住,未知句型,
车窗摇下,未知句型,
一股烟喷了出来,未知句型,
是大史,肯定句,
粗壮的身躯将驾驶座挤得满满的,未知句型,
“哇,未知句型,
汪教授,未知句型,
汪院士,未知句型,
这两天过得可好,未知句型,
”,未知句型,
“你在跟踪我,未知句型,
真无聊,未知句型,
”,未知句型,
“别误会,未知句型,
我要是直直开过去不就完了,肯定句,
讲个礼貌打个招呼你还当成驴肝肺了,未知句型,
”大史露出他的特色傻笑,未知句型,
一副无赖相,未知句型,
“咋的,未知句型,
那边看到什么有用的信息没,未知句型,
交流交流,未知句型,
”,未知句型,
“我说过,未知句型,
我和你们没关系了,未知句型,
今后请不要跟踪我,否定句,
”,未知句型,
“得——”大史开动了车子,未知句型,
“好像我愿意挣这俩夜班外勤费似的,未知句型,
球赛都耽误了,未知句型,
”,未知句型,
汪淼走进家门,未知句型,
妻儿已经睡了,未知句型,
他听到妻子在床上不安地翻身,否定句,
嘴里发出模糊不清的声音,否定句,
丈夫今天怪异的举动,未知句型,
不知会给她带来怎样的噩梦,否定句,
汪淼吃了两片利眠灵,未知句型,
躺到床上,未知句型,
过了很长时间才艰难地进入梦乡,未知句型,
他的梦境很纷乱,未知句型,
但其中的一个东西却恒定地存在着：幽灵倒计时,未知句型,
其实,未知句型,
倒计时在梦中出现是汪淼早就预料到的事,肯定句,
梦境中,未知句型,
他疯狂地击打悬浮在半空的倒计时,未知句型,
撕它、咬它,未知句型,
但一切击打都无力地穿透了它,未知句型,
它就悬在梦境正中,未知句型,
坚定地流逝着,未知句型,
它使汪淼烦躁至极,未知句型,
终于从梦中醒来,未知句型,
他睁开眼,未知句型,
看到了模糊的天花板,未知句型,
外面城市的灯光透过窗帘,未知句型,
在上面投出黯淡的光晕,未知句型,
但有一样东西从梦中跟随他到现实中：幽灵倒计时,未知句型,
